 ,Area,Mean,Min,Max
1056,1433,808.858,598,1545
1057,38,764.711,688,849
1058,1024,1058.812,568,2289
1059,87,735.678,630,825
1060,21,744.810,690,797
1061,51,741.510,594,867
1062,74,782.797,614,939
1063,756,811.934,538,1346
1064,39,717.308,656,778
1065,841,821.810,566,1323
1066,14,710.214,689,729
1067,42,750.810,679,867
1068,140,756.971,647,907
1069,29,730.414,665,822
1070,1023,767.612,566,1360
1071,63,707.587,635,1085
1072,6,712.667,692,726
1073,277,877.480,556,1552
1074,126,760.929,604,978
1075,550,1028.233,587,2020
1076,9,716.333,685,736
1077,47,791.638,622,936
1078,82,743.463,607,897
1079,63,742.698,607,858
1080,97,757.124,612,933
1081,52,740.712,653,814
1082,184,808.136,591,1096
1083,24,750.458,660,853
1084,18,731.500,663,777
1085,275,803.651,576,1267
1086,147,911.667,606,1410
1087,114,805.237,603,1107
1088,80,739.712,648,823
1089,69,721.971,651,822
1090,327,826.113,604,1420
1091,36,723.417,646,793
1092,129,843.829,596,1200
1093,702,780.835,602,1145
1094,1803,971.256,564,2030
1095,24,735.375,679,795
1096,18,794.500,674,874
1097,23,743.783,671,813
1098,274,760.715,604,969
1099,286,780.476,584,1452
1100,41,727.390,674,760
1101,310,786.271,596,1225
1102,1400,813.506,551,1568
1103,253,765.617,610,1098
1104,52,711.904,648,771
1105,6,778.833,755,821
1106,370,846.016,588,1319
1107,53,749.981,632,863
1108,100,795.450,616,1097
1109,1083,1079.508,499,3492
1110,64,727.281,664,814
1111,757,1033.811,603,2124
1112,47,723.872,627,811
1113,49,722.000,636,896
1114,70,754.186,646,906
1115,11,740.091,691,777
1116,153,781.353,576,1049
1117,125,756.776,608,1026
1118,15,808.667,716,968
1119,14,743.786,690,805
1120,33,726.697,654,804
1121,165,800.921,565,1308
1122,160,752.369,599,909
1123,40,813.400,676,947
